"","name","city","country","region","members","fullurl","created","status","last_event","past_events","upcoming_events"
"84","R-Ladies Santa Rosa","Santa Rosa","Argentina","Latin America",136,"https://www.meetup.com/rladies-santa-rosa/",2017-04-06,"Active",2020-12-07,17,0
"85","R-Ladies Chicago","Chicago","USA","US/Canada",1256,"https://www.meetup.com/rladies-chicago/",2017-07-05,"Active",2020-11-13,40,0
"86","R-Ladies Ames","Ames","USA","US/Canada",237,"https://www.meetup.com/rladies-ames/",2016-11-25,"Active",2020-11-12,79,0
"87","R-Ladies Philly","Philadelphia","USA","US/Canada",1341,"https://www.meetup.com/rladies-philly/",2017-10-11,"Active",2020-12-08,54,2
"88","R-Ladies Boston","Boston","USA","US/Canada",933,"https://www.meetup.com/rladies-boston/",2016-09-16,"Active",2020-11-19,41,1
"89","R-Ladies Vancouver","Vancouver","Canada","US/Canada",518,"https://www.meetup.com/rladies-vancouver/",2017-10-06,"Active",2020-12-11,28,0
"90","R-Ladies Oxford","Oxford","United Kingdom","Europe",28,"https://www.meetup.com/rladies-oxford/",2020-01-12,"Unbegun",NA,0,0
"91","R-Ladies Cambridge","Cambridge","United Kingdom","Europe",284,"https://www.meetup.com/rladies-cambridge/",2017-11-10,"Active",2020-08-04,2,0
"92","R-Ladies Manchester","Manchester","United Kingdom","Europe",476,"https://www.meetup.com/rladies-manchester/",2016-11-29,"Inactive",2020-04-07,20,0
"93","R-Ladies London, Ontario","London","Canada","US/Canada",463,"https://www.meetup.com/rladies-ldnont/",2017-01-17,"Inactive",2020-03-03,28,0
"94","R-Ladies Coventry","Coventry","United Kingdom","Europe",115,"https://www.meetup.com/rladies-coventry/",2020-02-22,"Active",2020-12-04,2,1
"95","R-Ladies Tbilisi","Tbilisi","Georgia","Asia",285,"https://www.meetup.com/rladies-tbilisi/",2016-11-29,"Active",2020-12-14,61,0
"96","R-Ladies Niš","Niš","Serbia","Europe",11,"https://www.meetup.com/rladies-nis/",2020-02-22,"Unbegun",NA,0,0
"97","R-Ladies Paris","Paris","France","Europe",586,"https://www.meetup.com/rladies-paris/",2016-09-19,"Inactive",2019-06-14,15,0
"98","R-Ladies São Paulo","São Paulo","Brazil","Latin America",1148,"https://www.meetup.com/rladies-sao-paulo/",2018-02-10,"Active",2020-12-05,21,0
"99","R-Ladies Santa Fe","Santa Fe","Argentina","Latin America",214,"https://www.meetup.com/rladies-santa-fe/",2018-05-08,"Active",2020-07-24,14,0
"100","R-Ladies Colombo","Colombo","Sri Lanka","Asia",95,"https://www.meetup.com/rladies-colombo/",2019-12-15,"Active",2020-12-28,1,0
"101","R-Ladies Irvine","Irvine","USA","US/Canada",453,"https://www.meetup.com/rladies-irvine/",2018-03-13,"Active",2020-11-18,19,1
"102","R-Ladies Buenos Aires","Buenos Aires","Argentina","Latin America",1263,"https://www.meetup.com/rladies-buenos-aires/",2017-01-03,"Active",2020-12-07,31,0
"103","R-Ladies Montreal","Montréal","Canada","US/Canada",524,"https://www.meetup.com/rladies-montreal/",2017-09-14,"Active",2020-12-17,24,0
"104","R-Ladies Rio de Janeiro","Rio de Janeiro","Brazil","Latin America",601,"https://www.meetup.com/rladies-rio/",2017-02-27,"Active",2020-09-30,11,0
