"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"395","R-Ladies Chicago","Chicago","USA","US/Canada",1302,"https://www.meetup.com/rladies-chicago/",2017-07-05,44,0,"public",2021-06-15,41.88,-87.62
"396","Vienna<-R","Vienna","Austria","Europe",753,"https://www.meetup.com/ViennaR/",2011-10-29,84,1,"public",2021-06-17,48.22,16.37
"397","Manchester R user Group","Manchester","United Kingdom","Europe",1019,"https://www.meetup.com/Manchester-R/",2013-01-07,29,0,"public",2020-02-12,53.47,-2.24
"398","sonRaí","Galway","Ireland","Europe",136,"https://www.meetup.com/sonRai/",2018-02-16,5,0,"public",2019-11-14,53.28,-9.06
"399","Trojmiasto Spark Meetup","Gdansk","Poland","Europe",186,"https://www.meetup.com/Trojmiasto-Spark-Meetup/",2017-11-27,3,0,"public",2021-02-25,54.36,18.64
"400","United Arab Emirates (UAE) Data Scientists Meetup","Abu Dhabi","U.A.E.","Asia",906,"https://www.meetup.com/United-Arab-Emirates-UAE-Data-Scientists-Meetup/",2015-06-13,18,1,"public_limited",2020-07-14,24.48,54.37
"401","Stockholm R useR group (SRUG)","Stockholm","Sweden","Europe",1186,"https://www.meetup.com/StockholmR/",2012-07-23,34,0,"public",2021-01-14,59.33,18.07
"402","R-Ladies Resistencia-Corrientes","Corrientes","Argentina","Latin America",145,"https://www.meetup.com/rladies-resistencia-corrientes/",2018-06-08,11,0,"public_limited",2020-12-07,-27.49,-58.81
"403","The Virtual Business Intelligence and Analytics User Group","Smithfield","USA","US/Canada",583,"https://www.meetup.com/The-RI-Microsoft-BIUG/",2012-05-03,151,0,"public",2021-03-24,41.86,-71.49
"404","Greater Nashville Healthcare Analytics","Nashville","USA","US/Canada",1664,"https://www.meetup.com/Greater-Nashville-Healthcare-Analytics/",2015-12-17,44,0,"public",2020-11-17,36.13,-86.8
"405","Eugene R Users","Eugene","USA","US/Canada",121,"https://www.meetup.com/meetup-group-cwPiAlnB/",2017-12-13,12,0,"public",2020-01-23,44.04,-123.05
"406","R-Ladies Adelaide","Adelaide","Australia","Australia",317,"https://www.meetup.com/rladies-adelaide/",2017-02-02,9,0,"public",2019-10-02,-34.93,138.6
"407","Campus useR Group Frankfurt","Frankfurt","Germany","Europe",228,"https://www.meetup.com/r-frankfurt/",2019-01-24,26,0,"public",2021-06-02,50.12,8.68
"408","Uppsala.R","Uppsala","Sweden","Europe",70,"https://www.meetup.com/Uppsala-R/",2020-01-11,10,0,"public",2021-04-15,59.86,17.64
"409","Buffalo R","Buffalo","USA","US/Canada",75,"https://www.meetup.com/Buffalo-R/",2019-06-27,4,0,"public",2020-04-01,42.9,-78.88
"410","Stamford BIT: Business Intelligence and Technologies Meetup","Stamford","USA","US/Canada",377,"https://www.meetup.com/Stamford-BIT-Business-Intelligence-Technologies/",2019-01-03,8,0,"public",2020-09-23,41.05,-73.54
"411","Statistical Society of Australia, Victorian Branch","Melbourne","Australia","Australia",2768,"https://www.meetup.com/Statistical-Society-of-Australia-Victorian-Branch/",2013-07-29,90,1,"public",2021-05-18,-37.81,144.96
"412","R-Ladies Vancouver","Vancouver","Canada","US/Canada",599,"https://www.meetup.com/rladies-vancouver/",2017-10-06,32,1,"public",2021-05-13,49.28,-123.04
"413","Analytics Para Todos - Mexico Group","México City","Mexico","Latin America",117,"https://www.meetup.com/analytics-mexico-group/",2021-02-02,2,0,"public",2021-02-19,19.43,-99.14
